pc11_district_id,pc11_state_id,vcf_min,vcf_max,vcf_mean,vcf_num_cells,year
001,01,0,81,31.204759942288103,87412.852017215,2001
001,01,0,75,27.200270613984426,87412.85201820849,2002
001,01,0,80,31.09914020320157,87412.85201820849,2003
001,01,0,80,29.80862626475175,87412.85201732666,2004
001,01,1,80,29.821219097870447,87412.85201820849,2005
001,01,0,81,31.940044052099427,87412.85201820849,2006
001,01,0,77,31.630824465404444,87412.85201781179,2007
001,01,0,77,31.659257893681264,87412.85201732666,2008
001,01,0,85,31.809342177704973,87412.852017215,2009
001,01,0,81,32.68565098642543,87412.85201820849,2010
001,01,0,79,28.398165283223,87412.85201820849,2011
001,01,0,81,31.44078619026489,87412.852017215,2012
001,01,0,89,32.073415639149424,87412.85201820849,2013
001,01,0,77,31.44812537376025,87412.85201820849,2014
001,01,0,88,35.944053432140514,87412.852017215,2015
001,01,1,79,32.9603142585456,87412.85201820849,2016
001,01,0,82,33.253398230078744,87412.852017215,2017
001,01,0,81,34.96890599312108,87412.85201820849,2018
001,01,0,78,33.263886917341615,87412.85201820849,2019
001,01,1,79,33.333975449415746,87412.85201781179,2020
002,01,0,80,14.24536253640177,37237.16625571004,2001
002,01,0,74,10.91398986153891,37237.16625493631,2002
002,01,0,74,14.214971614875964,37237.16625493631,2003
002,01,0,76,12.73987420383569,37237.166256192,2004
002,01,1,79,12.20665704863304,37237.16625493631,2005
002,01,0,82,15.04509142347164,37237.16625493631,2006
002,01,0,78,13.609604792397244,37237.16625574752,2007
002,01,0,78,13.342956000577058,37237.166256192,2008
002,01,0,78,13.315726297303446,37237.16625571004,2009
002,01,0,82,14.25195070246993,37237.16625493631,2010
002,01,0,80,12.270855820236656,37237.16625493631,2011
002,01,0,77,15.017482160554064,37237.16625571004,2012
002,01,0,80,14.6707468988758,37237.16625493631,2013
002,01,0,74,15.553442854806748,37237.16625493631,2014
002,01,0,82,18.76978177905784,37237.16625571004,2015
002,01,1,76,14.57899117206342,37237.16625493631,2016
002,01,0,82,15.300485074982094,37237.16625571004,2017
002,01,0,74,15.881795722053932,37237.16625493631,2018
002,01,0,70,16.068539820483707,37237.16625493631,2019
002,01,1,79,15.347999964891708,37237.16625574752,2020
003,01,0,80,0.7994688118013368,2568945.456671835,2001
003,01,0,67,0.7111956694482461,2568945.4566684943,2002
003,01,0,69,0.8988460568687923,2568945.4566684943,2003
003,01,0,69,0.9001560649520055,2568945.456675742,2004
003,01,0,68,1.5735823126530477,2568945.4566684943,2005
003,01,0,66,1.1664006812584122,2568945.4566684943,2006
003,01,0,83,0.7506155988606633,2568945.456670891,2007
003,01,0,63,0.4955055885511948,2568945.456675742,2008
003,01,0,77,1.1102408483736723,2568945.456671835,2009
003,01,0,62,1.232608511174146,2568945.4566684943,2010
003,01,0,69,1.0976524906973737,2568945.4566684943,2011
003,01,0,76,0.9119395446441696,2568945.456671835,2012
003,01,0,70,1.2537076491256252,2568945.4566684943,2013
003,01,0,62,0.9296096737977344,2568945.4566684943,2014
003,01,0,83,1.019304045723376,2568945.456671835,2015
003,01,0,73,1.2269363031211715,2568945.4566684943,2016
003,01,0,84,1.2139914941739467,2568945.456671835,2017
003,01,0,73,1.1945917659694585,2568945.4566684943,2018
003,01,0,63,1.2822446580134756,2568945.4566684943,2019
003,01,0,73,1.847246202245129,2568945.456670891,2020
004,01,0,59,1.5402751883819168,547162.8860991689,2001
004,01,0,68,1.2559496180932073,547162.8860984467,2002
004,01,0,71,1.662177935968656,547162.8860984467,2003
004,01,0,58,1.2954182016615778,547162.8860997175,2004
004,01,0,65,2.508846727330983,547162.8860984467,2005
004,01,0,60,2.281725784332853,547162.8860984467,2006
004,01,0,68,1.9506940469864231,547162.8860994222,2007
004,01,0,65,0.8610856123802447,547162.8860997175,2008
004,01,0,49,1.2308775306746176,547162.8860991689,2009
004,01,0,71,2.0177652242916224,547162.8860984467,2010
004,01,0,77,1.696599882538931,547162.8860984467,2011
004,01,0,67,1.7514037407360432,547162.8860991689,2012
004,01,0,73,2.563017275015041,547162.8860984467,2013
004,01,0,68,1.330054724903937,547162.8860984467,2014
004,01,0,87,2.343464909756265,547162.8860991689,2015
004,01,0,74,2.2084085688296264,547162.8860984467,2016
004,01,0,71,1.787832713787254,547162.8860991689,2017
004,01,0,69,2.1448705356388564,547162.8860984467,2018
004,01,0,59,1.9689969249895356,547162.8860984467,2019
004,01,0,61,2.855214752326777,547162.8860994222,2020
005,01,0,80,21.80653970429952,74484.9651954538,2001
005,01,0,78,20.115040528971075,74484.96519571394,2002
005,01,0,74,21.92639936714624,74484.96519571394,2003
005,01,0,79,22.15180362567048,74484.9651956461,2004
005,01,1,80,22.967169669476743,74484.96519571394,2005
005,01,0,81,26.379696873290253,74484.96519571394,2006
005,01,0,80,22.627668934982538,74484.96519592225,2007
005,01,0,77,26.150006092816277,74484.9651956461,2008
005,01,0,82,22.407818129356347,74484.9651954538,2009
005,01,0,83,24.923983779069317,74484.96519571394,2010
005,01,0,78,23.71385314164607,74484.96519571394,2011
005,01,0,80,24.5267192826854,74484.9651954538,2012
005,01,0,75,26.511240779804947,74484.96519571394,2013
005,01,0,79,23.13797052678064,74484.96519571394,2014
005,01,0,85,27.392005688519863,74484.9651954538,2015
005,01,0,77,25.68969584832709,74484.96519571394,2016
005,01,0,81,24.781813809971244,74484.9651954538,2017
005,01,0,79,26.231101035014177,74484.96519571394,2018
005,01,0,74,28.073630161700937,74484.96519571394,2019
005,01,1,75,27.718657663165445,74484.96519592225,2020
